Company_Name,Job_Opening,Industry,Salary,Job_Url,Excel/VBA,SQL,Python,Google Analytics,R,C語言,Tableau,SAS,Java,SPSS,Linux,Power BI​,HTML,CSS,Google Tag Manager
台灣雪豹科技股份有限公司,Growth Strategy Specialist - 行動廣告,其它軟體及網路相關業,待遇面議,http://www.104.com.tw/job/6soyu?jobsource=jolist_a_relevance,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
台灣電容器製造廠股份有限公司,軟體工程師,其他電子零組件相關業,"月薪35,000~45,000元",http://www.104.com.tw/job/71c73?jobsource=jolist_a_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
台盈資訊科技有限公司,數據分析師,電腦軟體服務業,待遇面議,http://www.104.com.tw/job/6skax?jobsource=jolist_b_relevance,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,資深人工智慧資料科學家_台達研究院(台北),其他電子零組件相關業,待遇面議,http://www.104.com.tw/job/6qblf?jobsource=jolist_a_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
同步科技股份有限公司,產品經理,其他電信及通訊相關業,"月薪60,000~100,000元",http://www.104.com.tw/job/73pub?jobsource=jolist_a_relevance,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
后羿醫學科技股份有限公司,企業轉型與數位科技應用政府計畫管理師,其他醫療保健服務業,待遇面議,http://www.104.com.tw/job/72ngz?jobsource=jolist_a_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
吳寶春食品股份有限公司,門市主管(台北店),食品什貨零售業,"月薪40,000元以上",http://www.104.com.tw/job/6xszy?jobsource=jolist_a_relevance,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和信超媒體股份有限公司戲谷分公司,夢谷平台營運企劃專員,網際網路相關業,"月薪30,000~50,000元",http://www.104.com.tw/job/6vg7m?jobsource=jolist_a_relevance,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和信超媒體股份有限公司戲谷分公司,夢谷營運企劃專員,網際網路相關業,"月薪30,000~50,000元",http://www.104.com.tw/job/6wdd4?jobsource=jolist_a_relevance,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和宇有限公司,UX 使用者經驗設計師,電腦系統整合服務業,待遇面議,http://www.104.com.tw/job/73p1d?jobsource=jolist_a_relevance,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
和泰汽車股份有限公司,車輛販賣資訊系統專員,其他汽機車相關業,"月薪34,000~69,000元",http://www.104.com.tw/job/4dcqy?jobsource=jolist_a_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和泰移動服務股份有限公司,營運企劃人員,網際網路相關業,"月薪32,000~50,000元",http://www.104.com.tw/job/71sj4?jobsource=jolist_a_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和泰聯網股份有限公司,資料分析師/資料科學家,網際網路相關業,待遇面議,http://www.104.com.tw/job/72ycg?jobsource=jolist_a_relevance,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1
和碩集團_和碩聯合科技股份有限公司,採購專案管理師_9676,電腦及其週邊設備製造業,"月薪30,000~50,000元",http://www.104.com.tw/job/6yjqq?jobsource=jolist_a_relevance,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和運租車股份有限公司,"專案企劃專員(和雲企劃部,iRent共享汽機車/停車場)",運輸工具設備租賃業,"月薪28,000~45,000元",http://www.104.com.tw/job/6t1i5?jobsource=jolist_a_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
品宜資訊科技有限公司,PM產品經理,電腦軟體服務業,待遇面議,http://www.104.com.tw/job/73as4?jobsource=jolist_a_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
哈妞國際有限公司,[阿綢家x啾咪史派克] 數位廣告投放專員,鞋類／布類／服飾品零售業,"月薪32,000~50,000元",http://www.104.com.tw/job/5tgle?jobsource=jolist_a_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商周集團_商周編輯顧問股份有限公司,Youtube節目企製【商周集團-商業周刊編輯處】,雜誌／期刊出版業,"月薪35,000元以上",http://www.104.com.tw/job/73o3n?jobsource=jolist_a_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
商周集團_商周編輯顧問股份有限公司,數據分析師【商周集團-數據商業中心】,雜誌／期刊出版業,待遇面議,http://www.104.com.tw/job/712jg?jobsource=jolist_b_relevance,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0
